time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
841983,91,757,147,143,480,360,438,8,10
843585,91,757,146,143,480,360,438,8,10
845206,91,756,146,143,480,360,438,8,10
846784,91,756,146,143,480,360,438,8,10
848384,91,756,146,144,480,360,438,8,10
849984,91,756,146,144,480,360,438,8,10
851583,91,757,146,144,480,360,438,8,10
853209,91,757,146,144,480,360,438,8,11
854785,91,757,146,144,480,360,438,8,10
856383,91,757,146,144,480,360,438,8,10
857984,92,757,146,143,480,360,438,8,10
859583,91,757,146,143,480,360,438,8,10
861205,91,757,146,143,480,360,438,8,11
862784,91,757,146,143,480,360,438,8,10
864386,91,757,146,144,480,360,438,8,10
865983,91,757,146,144,480,360,438,8,10
867584,91,757,146,144,480,360,438,8,10
869188,91,757,146,144,480,360,439,8,11
870784,91,757,146,144,480,360,438,8,11
872384,91,757,146,144,480,360,438,8,11
873985,92,757,146,144,480,360,438,8,11
875584,91,757,146,143,480,360,438,8,11
877188,91,757,146,143,480,360,438,8,11
878784,91,757,146,143,480,360,438,8,10
880384,91,757,146,144,480,360,438,8,10
881983,91,757,147,144,480,360,438,8,10
883615,91,757,147,144,480,360,438,8,10
885189,91,757,146,144,480,360,438,8,10
886785,91,757,146,144,480,360,438,8,10
888383,91,757,146,144,480,360,438,8,10
889984,92,757,146,144,480,360,438,8,10
891583,92,757,146,143,480,360,438,8,10
893191,91,757,146,143,480,360,438,8,10
894784,91,757,146,143,480,360,438,8,10
896383,91,757,146,143,480,360,438,8,10
897983,91,757,146,144,480,360,438,8,10
899584,91,757,146,144,480,359,438,8,10
901188,91,757,146,144,480,359,438,8,10
902784,91,757,146,144,480,360,438,8,10
904385,91,757,146,144,480,360,438,8,10
905984,92,757,147,144,480,360,438,8,10
907584,92,757,147,144,480,360,438,8,10
909188,91,757,146,143,480,360,438,8,10
910785,91,757,146,143,480,360,438,8,10
912383,91,757,146,143,480,360,438,8,10
913986,91,757,146,144,480,360,438,8,11
915584,91,757,146,144,480,360,438,8,11
917188,91,757,146,144,480,360,437,8,10
918784,91,757,146,144,480,360,438,8,10
920384,91,757,146,144,480,360,438,8,10
921984,91,757,146,144,480,360,438,8,10
923587,92,757,146,144,480,360,438,8,10
925188,91,757,146,143,480,360,438,8,10
926785,91,757,146,143,480,360,439,8,10
928384,91,757,146,143,480,360,438,8,10
929983,91,757,146,144,480,360,438,8,10
931584,91,756,146,144,480,360,438,8,10
933190,91,756,146,144,480,360,438,8,10
934785,91,756,146,144,480,360,438,8,10
936384,91,756,146,144,480,360,438,8,10
937983,92,757,146,144,480,360,438,8,10
939584,92,757,146,144,480,360,438,8,10
941188,92,757,146,143,480,360,438,8,10
942785,92,757,146,143,480,360,438,8,10
944386,92,757,146,143,480,360,438,8,10
945984,92,757,146,143,480,360,438,8,10
947584,92,757,146,144,480,360,438,8,10
949188,92,757,146,144,480,360,438,8,10
950785,92,757,146,144,480,360,438,8,10
952384,92,757,147,144,480,360,438,8,10
953986,91,757,146,144,480,360,438,8,10
955584,91,757,146,144,480,360,438,8,10
957189,91,757,146,143,480,360,438,8,10
958785,91,757,146,143,480,360,438,8,10
960384,92,757,146,143,480,361,438,8,10
961983,92,757,146,143,480,360,438,8,10
963586,92,757,146,143,480,360,438,8,10
965188,92,757,146,144,480,360,438,8,10
966785,92,757,146,144,480,360,438,8,10
968383,92,757,147,144,480,360,438,8,10
969984,92,757,146,144,480,360,438,8,10
971583,91,756,146,144,480,360,438,8,10
973191,91,756,146,143,480,360,438,8,10
974785,91,756,146,143,480,360,438,8,10
976383,91,756,146,143,480,361,439,8,11
977984,92,756,146,143,480,360,438,8,11
979583,92,756,146,143,480,360,438,8,11
981189,92,756,146,143,480,360,438,8,11
982785,92,756,146,144,480,360,438,8,11
984413,92,757,147,145,480,360,438,8,11
985985,92,757,147,145,480,360,438,8,11
987584,92,757,146,144,480,361,438,8,11
989189,91,757,146,144,480,361,438,8,11
990785,91,757,146,143,480,361,438,8,11
992384,91,757,146,143,480,361,438,8,11
993986,92,756,146,143,480,361,438,8,11
995584,92,756,146,143,480,361,439,8,11
997188,92,756,146,144,480,361,438,8,11
998784,92,756,146,144,480,361,438,8,11
1000383,91,757,146,144,480,360,438,8,11
1001984,92,757,146,144,480,360,438,8,11
1003586,92,757,146,144,480,360,438,8,11
1005189,92,757,146,144,480,360,438,8,11
1006784,92,757,146,143,480,360,438,8,11
1008384,92,757,146,143,480,360,438,8,11
1009984,92,757,146,143,480,360,438,8,11
1011584,91,756,146,143,480,360,438,8,11
1013192,91,756,146,144,480,360,438,8,11
1014784,91,756,146,144,480,360,438,8,11
1016384,91,756,146,144,480,360,438,8,11
1017984,92,757,147,144,480,360,438,8,11
1019583,92,757,146,144,480,361,438,8,11
1021184,92,757,146,144,480,360,438,8,11
1022784,92,757,146,144,480,360,438,8,11
1024386,91,757,146,144,480,360,438,8,11
1025983,91,757,146,143,480,360,438,8,11
1027584,91,757,146,143,480,360,438,8,11
1029184,91,757,146,144,480,360,438,8,11
1030784,91,757,146,144,480,360,438,7,11
1032383,92,757,146,144,480,360,438,7,12
1033985,92,757,147,145,480,360,438,7,12
1035584,92,757,146,145,480,360,438,7,12
1037184,92,757,146,145,480,360,438,8,12
1038784,92,757,146,144,480,360,438,8,11
1040383,92,757,146,144,480,360,438,8,11
1041983,92,757,147,144,480,360,438,8,11
1043586,92,757,146,143,480,360,438,8,11
1045183,92,757,146,144,480,360,438,8,11
1046784,92,757,146,144,480,360,438,8,11
1048384,92,757,146,144,480,360,438,8,11
1049983,92,757,146,145,480,360,438,8,11
1051584,92,756,146,145,480,360,438,8,11
1053185,92,756,146,145,480,360,438,8,12
