time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
4109183,91,757,146,143,480,360,438,7,12
4117183,91,757,146,144,480,360,438,7,11
4125183,91,757,146,143,480,361,438,7,12
4133185,91,757,147,144,480,360,438,7,11
4141183,91,757,146,143,480,360,438,8,11
4149183,91,757,146,144,480,360,438,8,11
4157183,91,757,146,143,480,360,438,8,11
4165183,91,757,146,144,480,360,438,8,11
4173185,91,757,146,144,480,360,438,8,11
4181183,91,757,146,144,480,360,438,8,12
4189183,91,757,146,144,480,360,438,8,11
4197183,91,757,146,144,480,360,438,8,11
4205183,91,757,146,144,480,360,438,8,12
4213185,91,757,146,144,480,360,438,8,12
4221183,91,757,146,144,480,360,438,8,12
4229217,91,756,146,143,480,360,438,8,12
4237216,91,756,146,144,480,360,438,8,12
4245217,91,756,146,143,480,360,438,8,11
4253218,91,757,146,144,480,360,437,8,11
4261216,91,757,146,143,480,360,438,8,11
4269215,91,757,146,144,480,360,438,8,11
4277215,91,757,146,143,480,360,438,8,12
4285187,91,757,146,144,480,360,438,8,11
4293193,91,757,146,143,480,360,438,8,11
4301188,91,757,146,144,480,360,438,8,11
4309187,91,757,146,143,480,360,438,8,11
4317187,91,757,146,144,480,360,438,8,11
4325187,91,757,146,143,480,360,438,8,12
4333190,91,757,146,144,480,360,438,8,11
4341188,91,757,146,143,480,360,438,7,11
4349188,91,757,146,144,480,360,438,8,11
4357187,91,757,146,143,480,360,438,8,11
4365187,91,756,146,144,480,360,438,8,12
4373190,91,757,146,144,480,359,438,8,11
4381188,91,757,146,144,480,360,438,7,11
4389188,91,757,146,144,480,360,438,8,11
4397188,91,757,146,144,480,360,438,8,11
4405188,91,757,146,144,480,360,438,8,11
4413191,91,757,146,143,481,360,438,8,11
4421189,91,756,146,144,480,360,438,7,12
4429188,91,756,146,143,480,360,438,8,11
4437188,92,756,146,144,480,360,438,8,12
4445183,91,756,146,143,480,360,438,8,11
4453185,92,756,146,144,481,360,438,8,11
4461183,91,757,146,143,480,360,438,8,12
4469184,91,757,146,144,480,361,438,8,11
4477183,91,757,146,143,480,360,438,8,11
4485184,91,757,146,144,480,360,438,7,11
4493185,91,757,146,143,480,360,438,8,11
4501183,91,756,146,144,480,360,438,8,11
